Stream Type,Rep ID,Bandwidth (bps),Codec,Codec Profile,Resolution,Frame Rate,Language,Channels,DRM,Segments Checked,Segments OK,Segments Failed
Video,bbb_30fps_1024x576_2500k,3134488,avc1.64001f,AVC High Level 3.1,1024x576 @ 30 fps,30,N/A,N/A,None,3,3,0
Video,bbb_30fps_1280x720_4000k,4952892,avc1.64001f,AVC High Level 3.1,1280x720 @ 30 fps,30,N/A,N/A,None,3,3,0
Video,bbb_30fps_1920x1080_8000k,9914554,avc1.640028,AVC High Level 4,1920x1080 @ 30 fps,30,N/A,N/A,None,3,3,0
Video,bbb_30fps_320x180_200k,254320,avc1.64000d,AVC High Level 1.3,320x180 @ 30 fps,30,N/A,N/A,None,3,3,0
Video,bbb_30fps_320x180_400k,507246,avc1.64000d,AVC High Level 1.3,320x180 @ 30 fps,30,N/A,N/A,None,3,3,0
Video,bbb_30fps_480x270_600k,759798,avc1.640015,AVC High Level 2.1,480x270 @ 30 fps,30,N/A,N/A,None,3,3,0
Video,bbb_30fps_640x360_1000k,1254758,avc1.64001e,AVC High Level 3,640x360 @ 30 fps,30,N/A,N/A,None,3,3,0
Video,bbb_30fps_640x360_800k,1013310,avc1.64001e,AVC High Level 3,640x360 @ 30 fps,30,N/A,N/A,None,3,3,0
Video,bbb_30fps_768x432_1500k,1883700,avc1.64001e,AVC High Level 3,768x432 @ 30 fps,30,N/A,N/A,None,3,3,0
Video,bbb_30fps_3840x2160_12000k,14931538,avc1.640033,AVC High Level 5.1,3840x2160 @ 30 fps,30,N/A,N/A,None,3,3,0
Audio,bbb_a64k,67071,mp4a.40.5,"AAC LC (Low Complexity), Level: 5",N/A,N/A,N/A,2,None,3,3,0
